"Drug","Groups","Indication"
"Cimetidine","approved","For the treatment and the management of acid-reflux disorders (GERD), peptic ulcer disease, heartburn, and acid indigestion."
"Haloperidol","approved","For the management of psychotic disorders (eg. schizophrenia) and delirium, as well as to control tics and vocal utterances of Tourette's syndrome (Gilles de la Tourette's syndrome). Also used for the treatment of severe behavioural problems in children with disrubtive behaviour disorder or ADHD (attention-deficit hyperactivity disorder). Haloperidol has been used in the prevention and control of severe nausea and vomiting."
"Ritonavir","approved/investigational","Indicated in combination with other antiretroviral agents for the treatment of HIV-infection."
"Levallorphan","approved","For the complete or partial reversal of narcotic depression, including respiratory depression, induced by opioids."
"Tridihexethyl","withdrawn","Used as an adjunct in the treatment of peptic ulcer disease and in Acquired nystagmus"
"Nitazoxanide","approved/investigational","For the treatment of diarrhea in adults and children caused by the protozoa <i>Giardia lamblia</i> and for the treatment of diarrhea in children caused by the protozoa <i>Cryptosporidium parvum</i>."
"Triflupromazine","approved","Used mainly in the management of psychoses. Also used to control nausea and vomiting."
"Dextrothyroxine","approved","Used to lower high cholesterol levels in the blood."
"Acetyldigitoxin","approved","Used for fast digitalization in congestive heart failure."
"Vancomycin","approved","For the treatment of serious or severe infections caused by susceptible strains of methicillin-resistant (beta-lactam-resistant) staphylococci."
"Aminocaproic Acid","approved/investigational","For use in the treatment of excessive postoperative bleeding."
"Dextromethorphan","approved","For treatment and relief of dry cough."
"Cisplatin","approved","For the treatment of metastatic testicular tumors, metastatic ovarian tumors and advanced bladder cancer."
"Anisotropine Methylbromide","approved","For use in conjunction with antacids or histamine H<sub>2</sub>-receptor antagonists in the treatment of peptic ulcer, to reduce further gastric acid secretion and delay gastric emptying."
"Albendazole","approved","For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, <i>Taenia solium</i> and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, <i>Echinococcus granulosus</i>."
"Trandolapril","approved","For the treatment of mild to moderate hypertension, as an adjunct in the treatment of congestive heart failure (CHF), to improve survival following myocardial infarction (MI) in individuals who are hemodynamically stable and demonstrate symptoms of left ventricular systolic dysfunction or signs of CHF within a few days following acute MI, and to slow progression of renal disease in hypertensive patients with diabetes mellitus and microalbuminuria or overt nephropathy. "
"Caspofungin","approved","For the treatment of esophageal candidiasis and invasive aspergillosis in patients who are refractory to or intolerant of other therapies."
"Carteolol","approved","For the treatment of intraocular hypertension and chronic open-angle glaucoma"
"Bentiromide","withdrawn","Used as a screening test for exocrine pancreatic insufficiency and to monitor the adequacy of supplemental pancreatic therapy."
"Alitretinoin","approved/investigational","For topical treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma."
"Metolazone","approved","For the treatment of hypertension, alone or in combination with other antihypertensive drugs of a different class."
"Tolnaftate","approved","Tolnaftate topical is used to treat skin infections such as athlete's foot, jock itch, and ringworm infections. Tolnaftate is also used, along with other antifungals, to treat infections of the nails, scalp, palms, and soles of the feet. The powder and powder aerosol may be used to prevent athlete's foot."
"Oxaliplatin","approved/investigational","Used in combination with infusional 5-FU/LV, is indicated for the treatment of advanced carcinoma of the colon or rectum and for adjuvant treatment of stage III colon cancer patients who have undergone complete resection of the primary tumor. "
"Cinchocaine","approved","For production of local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks."
"Lercanidipine","approved/investigational","For the treatment of Hypertension, management of angina pectoris and Raynaud's syndrome"
"Foscarnet","approved","For the treatment of CMV retinitis in patients with acquired immunodeficiency syndrome (AIDS) and for treatment of acyclovir-resistant mucocutaneous HSV infections in immunocompromised patients."
"Erlotinib","approved/investigational","For the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of at least one prior chemotherapy regimen. Also for use, in combination with gemcitabine, as the first-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer."
"Cyclophosphamide","approved/investigational","Cyclophosphamide is indicated for the treatment of malignant lymphomas, multiple myeloma, leukemias, mycosis fungoides (advanced disease), neuroblastoma (disseminated disease), adenocarcinoma of the ovary, retinoblastoma, and carcinoma of the breast. It is also indicated for the treatment of biopsy-proven minimal change nephrotic syndrome in pediatric patients. "
"Mephenytoin","investigational/withdrawn","For the treatment of refractory partial epilepsy."
"Rofecoxib","investigational/withdrawn","For the treatment of osteoarthritis, rheumatoid arthritis, acute pain in adults, and primary dysmenorrhea, as well as acute treatment of migraine attacks with or without auras."
"Chlormerodrin","approved/withdrawn","Previously used as a diuretic. The radiolabeled form has been used as a diagnostic and research tool."
"Cefdinir","approved","For the treatment of the respiratory, skin, soft tissue, and ENT infections caused by <i>H. influenzae</i> (including b-lactamase producing strains), <i>H. parainfluenzae</i> (including b-lactamase producing strains), <i>S. pneumoniae</i> (penicillin-susceptible strains), <i>S. pyogenes</i>, <i>S. aureus</i> (including b-lactamase producing strains), and <i>M. catarrhalis</i>."
"Guanidine","approved","For the reduction of the symptoms of muscle weakness and easy fatigability associated with the myasthenic syndrome of Eaton-Lambert. It is not indicated for treating myasthenia gravis."
"Ciprofloxacin","approved/investigational","For the treatment of the following infections caused by susceptible organisms: urinary tract infections, acute uncomplicated cystitis, chronic bacterial prostatitis, lower respiratory tract infections, acute sinusitis, skin and skin structure infections, bone and joint infections, complicated intra-abdominal infections (used in combination with metronidazole), infectious diarrhea, typhoid fever (enteric fever), uncomplicated cervical and urethral gonorrhea, and inhalational anthrax (post-exposure)."
